ObjectID,Artist,Nationality,Gender,Department,DateAcquired
95522,Joseph Beuys,German,Male,Drawings,2005
95523,Joseph Beuys,German,Male,Drawings,2005
95524,Joseph Beuys,German,Male,Drawings,2005
95525,Joseph Beuys,German,Male,Drawings,2005
95526,Joseph Beuys,German,Male,Drawings,2005
95527,Joseph Beuys,German,Male,Drawings,2005
95528,Joseph Beuys,German,Male,Drawings,2005
95529,Joseph Beuys,German,Male,Drawings,2005
95530,Joseph Beuys,German,Male,Drawings,2005
95531,Joseph Beuys,German,Male,Drawings,2005
95532,Rebecca Bird,American,Female,Drawings,2005
95533,James Bishop,American,Male,Drawings,2005
95534,James Bishop,American,Male,Drawings,2005
95535,Ginny Bishton,American,Female,Drawings,2005
95536,Norbert Bisky,German,Male,Drawings,2005
95537,Norbert Bisky,German,Male,Drawings,2005
95538,Norbert Bisky,German,Male,Drawings,2005
95539,Norbert Bisky,German,Male,Drawings,2005
95540,Norbert Bisky,German,Male,Drawings,2005
95541,Norbert Bisky,German,Male,Drawings,2005
95542,Norbert Bisky,German,Male,Drawings,2005
95543,Norbert Bisky,German,Male,Drawings,2005
95544,Norbert Bisky,German,Male,Drawings,2005
95545,Norbert Bisky,German,Male,Drawings,2005
95546,Norbert Bisky,German,Male,Drawings,2005
95547,Norbert Bisky,German,Male,Drawings,2005
95548,Norbert Bisky,German,Male,Drawings,2005
95549,Nayland Blake,American,Male,Drawings,2005
95551,Pearl Blauvelt,American,Female,Drawings,2005
95552,Pearl Blauvelt,American,Female,Drawings,2005
95553,Pearl Blauvelt,American,Female,Drawings,2005
95554,Pearl Blauvelt,American,Female,Drawings,2005
95555,Pearl Blauvelt,American,Female,Drawings,2005
95556,Pearl Blauvelt,American,Female,Drawings,2005
95557,Mel Bochner,American,Male,Drawings,2005
95558,Mel Bochner,American,Male,Drawings,2005
95559,John Bock,German,Male,Drawings,2005
95560,John Bock,German,Male,Drawings,2005
95561,John Bock,German,Male,Drawings,2005
95562,John Bock,German,Male,Drawings,2005
95563,John Bock,German,Male,Drawings,2005
95564,John Bock,German,Male,Drawings,2005
95565,John Bock,German,Male,Drawings,2005
95566,John Bock,German,Male,Drawings,2005
95567,John Bock,German,Male,Drawings,2005
95568,John Bock,German,Male,Drawings,2005
95569,John Bock,German,Male,Drawings,2005
95570,Alighiero Boetti,Italian,Male,Drawings,2005
95571,Alighiero Boetti,Italian,Male,Drawings,2005
95572,Alighiero Boetti,Italian,Male,Drawings,2005
95573,Alighiero Boetti,Italian,Male,Drawings,2005
95574,Alighiero Boetti,Italian,Male,Drawings,2005
95575,Alighiero Boetti,Italian,Male,Drawings,2005
95576,Cosima von Bonin,German,Female,Drawings,2005
95577,Lee Bontecou,American,Female,Drawings,2005
95578,Lee Bontecou,American,Female,Drawings,2005
